ic_index,psi0_real,psi0_imag,r0,ever_on_floor,floor_active_fraction,r_min,r_max,r_final,gamma,eps,h,n_steps
173,0.28625891760886474,0.3091829271113895,0.4213528810009083,True,0.894,0.05,0.4213528810009083,0.05,1.0,0.05,0.01,2000
174,0.8609917436632909,-1.0305818134763352,1.3429094001177166,True,0.8365,0.049999999999999996,1.3429094001177166,0.049999999999999996,1.0,0.05,0.01,2000
175,-0.12107323017480665,-1.8866263696319039,1.8905072826242746,True,0.8195,0.05,1.8905072826242746,0.05,1.0,0.05,0.01,2000
176,-0.3539462133831936,-0.9376553070320487,1.0022352003265833,True,0.851,0.05,1.0022352003265833,0.05,1.0,0.05,0.01,2000
177,-1.3757363378660215,-0.021022572915271376,1.3758969510457495,True,0.8355,0.05,1.3758969510457495,0.05,1.0,0.05,0.01,2000
178,-1.8884947733428523,-0.3147698743290694,1.9145476182974426,True,0.819,0.049999999999999996,1.9145476182974426,0.049999999999999996,1.0,0.05,0.01,2000
179,-1.5043276856257226,1.1626802090212671,1.9012698530692007,True,0.819,0.049999999999999996,1.9012698530692007,0.05,1.0,0.05,0.01,2000
180,0.5197203950561817,-1.0922021886782542,1.2095515325900432,True,0.8415,0.049999999999999996,1.2095515325900432,0.05000000000000001,1.0,0.05,0.01,2000
181,-0.672783707888284,1.6946654104978682,1.8233290353465597,True,0.8215,0.05,1.8233290353465597,0.05,1.0,0.05,0.01,2000
182,-1.8474056434893713,0.4705148160290174,1.9063818619833746,True,0.819,0.049999999999999996,1.9063818619833746,0.049999999999999996,1.0,0.05,0.01,2000
183,0.0927754401516009,0.8106286284953195,0.8159203733401477,True,0.8615,0.049999999999999996,0.8159203733401477,0.049999999999999996,1.0,0.05,0.01,2000
184,-0.714690372548048,0.281064359671027,0.7679710299810483,True,0.8645,0.049999999999999996,0.7679710299810483,0.05,1.0,0.05,0.01,2000
